id	theme	kind	path	sha256	promptPath	source	attempts	readback	verdict
wood	starcraft-cand-c	building	docs/images/assets/starcraft-cand-c/building/wood.jpg	cd35a0c8e1bfb556f0b9350ec11e59b8156e608c3f4642af6901abe2b545506c	docs/images/assets/starcraft-cand-c/building/wood.prompt.txt	grok	1		unread
steel	starcraft-cand-c	building	docs/images/assets/starcraft-cand-c/building/steel.jpg	0ce7db1d1afe4b32ff153aa12f2e3f1964a5a53fc41ec2b1fd08188aa435badd	docs/images/assets/starcraft-cand-c/building/steel.prompt.txt	grok	1		unread
