id	theme	kind	path	sha256	promptPath	source	attempts	readback	verdict
ground	starcraft-cand-d	tile	docs/images/assets/starcraft-cand-d/tile/ground.jpg	9fd1d52a0f423b7c5dacd93050608b5693150921b60e3de89f39b3173ad3bcd0	docs/images/assets/starcraft-cand-d/tile/ground.prompt.txt	grok	1		unread
pad	starcraft-cand-d	tile	docs/images/assets/starcraft-cand-d/tile/pad.jpg	4dead6717a8537b4004f03b1167a6fb283561e48d93512b3a23070d5841e2bbf	docs/images/assets/starcraft-cand-d/tile/pad.prompt.txt	grok	1		unread
